ID;B1_R1;B1_R2;B1_R3;B2_R1;B2_R2;B2_R3;B3_R1;B3_R2;B3_R3;B4_R1;B4_R2;B4_R3;B5_R1;B5_R2;B5_R3;B6_R1;B6_R2;B6_R3;B7_R1;B7_R2;B7_R3;B8_R1;B8_R2;B8_R3;B9_R1;B9_R2;B9_R3;B10_R1;B10_R2;B10_R3;B11_R1;B11_R2;B11_R3;B12_R1;B12_R2;B12_R3
Person_som_har_samlet_data;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV;Liv Guri Velle (LGV);LGV;LGV;LGV;LGV;LGV;LGV;LGV;LGV
Sted;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy;Nerlandsøy
Naturtype;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Kystlynghei;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng;Semi-naturlig eng
Fase;BF;BF;BF;BF;BF;BF;BF;BF;BF;MF;MF;MF;MF;MF;MF;MF;MF;MF;PF;PF;PF;PF;PF;PF;PF;PF;PF;NA;NA;NA;NA;NA;NA;NA;NA;NA
Suksesjonstrinn;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dato;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;14.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;13.08.2022;22.08.2023;22.08.2023;22.08.2023;22.08.2023;22.08.2023;23.08.2023;23.08.2023;23.08.2023;23.08.2023
Year;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023
Blokk;B1;B1;B1;B2;B2;B2;B3;B3;B3;B4;B4;B4;B5;B5;B5;B6;B6;B6;B7;B7;B7;B8;B8;B8;B9;B9;B9;B10;B10;B10;B11;B11;B11;B12;B12;B12
Plott;R1;R2;R3;R1;R1;R1;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3;R1;R2;R3
Eksposisjon_0-360_grader;170;160;180;180;90;180;170;190;180;40;45;40;190;220;210;130;125;100;310;315;330;260;240;270;200;245;230;30;30;30;30;30;30;30;30;30
Torvdybde_1;30;25;25;35;40;25;10;5;5;25;40;35;10;14;5;5;15;15;15;10;10;60;20;10;15;20;15;NA;NA;NA;NA;NA;NA;NA;NA;NA
Torvdybde_2;15;10;40;10;30;30;15;10;10;40;30;15;12;12;7;12;17;21;40;30;15;22;15;10;20;30;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
Torvdybde_3;8;5;15;15;35;40;10;10;15;31;15;20;37;20;10;26;23;23;35;15;25;10;12;5;10;15;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
Torvdybde_4;12;15;10;20;25;25;10;15;10;28;30;20;14;15;8;20;27;12;30;25;15;16;17;17;15;10;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
Helling;10;9;4;4;6;5;4;5;3;8;7;7;7;5;5;2;5;5;2;2;2;10;8;2;5;4;3;18;9;16;11;14;11;8;14;15
Antall_pellets;0;0;0;5;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;16;4;2;3;3;3;6;0;1;0;0;0;0;0;1;0
Hoyde_maks;41;37;62;38;29;42;71;22;30;42;43;40;29;26;27;41;43;37;22;12;27;14;12;16;22;12;10;59;47;46;71;46;48;99;49;52
Hoyde_minimum;1;2;2;2;2;2;2;2;2;2;16;18;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;6;7;8;8;5;4;8;10;6
Hoyde_snitt_1;19;16;31;16;14;16;14;12;12;19;20;12;19;12;17;21;24;24;8;6;12;4;9;14;18;10;4;28;15;19;22;14;30;32;14;24
Hoyde_snitt_2;16;31;18;12;12;28;22;9;16;20;19;10;20;17;16;27;26;21;6;8;9;6;8;10;9;8;3;41;17;21;26;24;19;31;22;26
Hoyde_snitt_3;18;12;26;9;21;24;21;11;14;38;14;19;21;19;12;23;30;23;9;4;11;9;8;11;4;4;3;32;21;15;19;19;15;19;21;18
Dybde_stro_1;0.5;1;1;2;2;1;1;0.5;1;4;3;2;2;2.5;2;3;3;3;1;1;1;1.5;2;2;2;2;1;2;3;2;2;2;2;3;2;3
Dybde_stro_2;1;2;1;1;0.5;1;2;1;0.5;3;2;1;1;2;1.5;1;2.5;3;1.5;0.5;1;1;1;2;1;1.5;1;1;1;2;3;1;1;1;2;3
Dybde_stro_3;0.5;1;2;2;1;2;1;1;2;2;1.5;2;2;1;2;3;2;2.5;1;1;0.5;2;1;1;2;1;1;3;1;3;3;3;3;2;3;2
Dybde_stro_4;1;1;1;1;1;1;2;0.5;1;2;2;1.5;1;1;1;2;1;1;2;0.5;1;1;1;1;1;1;1;2;2;2;2;2;2;3;1;2
Dekning_dod_rosslyng;0;0;0;0;0;3;0;0;0;5;0;3;0;4;3;0;0;0;3;2;4;20;10;15;2;1;1;0;0;0;0;0;0;0;0;0
Dekning_torkeskadet_rosslyng;0;0;0;0;0;0;0;0;0;4;5;10;2;5;8;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dekning_levende_rosslyng;30;30;60;50;75;50;70;50;75;80;90;70;85;75;75;75;80;75;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0
Tall_frospirer_rosslyng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25-50;25-50;25-50;50-100;50-100;25-50;25-50;25-50;25-50;0;0;0;0;0;0;0;0;0
tresjikt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
busksjikt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
feltsjikt;95;75;98;85;95;75;85;85;90;95;95;75;95;80;80;90;98;95;50;60;40;30;60;55;50;50;50;100;80;100;100;100;100;100;100;100
bunnsjikt;10;4;2;20;15;30;25;10;20;80;90;90;85;90;90;80;100;95;0;0;0;1;0;0;0;0;0;80;75;60;60;70;40;30;30;30
bar_jord;0;25;0;5;3;15;0;0;10;0;0;0;0;0;3;5;0;0;30;25;30;55;25;25;25;20;25;0;0;0;0;0;0;0;0;0
bart_berg_stein;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;4;4;0;10;0;0;0;0;0;0;0
stor;5;5;10;15;10;10;10;30;10;50;50;50;40;10;50;90;60;70;20;15;30;25;20;20;25;30;25;10;10;10;15;20;20;15;15;15
lyngarter_uten_rosslyng;30;25;12;3;12;10;10;10;15;10;25;25;13;30;14;4;5;4;0;1;3;0;0;3;1;2;0;0;0;2;0;0;0;0;4;0
andre_forvedete_arter;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urter;10;15;30;20;20;10;10;15;20;6;10;4;5;2;8;20;20;20;25;17;25;15;30;55;20;25;25;15;25;10;40;40;45;20;15;50
graminider;25;30;40;40;30;25;35;50;30;6;5;4;5;5;5;6;3;3;35;25;14;10;30;25;30;25;25;85;70;90;60;60;60;90;90;50
lav;0;0;0;0;0;0;0;0;0;3;4;0;4;6;12;2;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
moser;10;3;5;20;15;35;25;10;20;80;90;90;90;85;90;80;100;85;0;0;0;1;0;0;0;0;0;80;95;50;30;20;40;30;25;30
Arve;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;
Augnetroyst;2;3;;;;1;4;3;15;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bjonnkam;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
Bjonnskjegg;;;;4;2;2;;;;2;3;4;1;3;3;4;2;3;2;1;1;3;12;15;5;2;3;;;;;;;;;
Bjornemose;;;;2;;;;;;3;;5;5;;2;;;;;;;1;;;;;;;;3;;;2;;;
Blokkebaer;;;;;;;;;;;4;1;;;;;;;;1;;;;;;1;;;;;;;;;;
Blabaer;;;;;7;;;;;3;1;3;3;5;2;2;;4;;;;;;;;;;;;2;;;;;4;
Blaklokke;1;1;2;;;;;2;1;;;;;;;;;;;1;1;1;;;;1;2;;;;;;;;;
Blaknapp;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Blakoll;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Blastarr;;;;;;;;;;;;;;1;;;;;2;3;3;1;5;5;;;;;;;;;;;;
Blatopp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;
Bratestarr;;1;4;2;2;3;4;2;;;;;;;2;;;;3;2;1;;;;3;2;3;;;;;;;;;
Dicranum_sp_sigdmose_sp;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einer;;;2;;;;;;;;3;;4;4;;2;15;5;;;;;;;;;;;;;;;;;;
Engfiol;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;3;;5;3;4;3;
Engfrytle;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enghumleblom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;4
Engkransmose;;;;;;;4;3;;3;;;5;3;2;;;;;;;;;;;;;1;15;3;6;5;1;1;4;1
Engkvein;1;5;15;;2;5;3;6;15;2;;2;;;;;2;2;6;1;5;;6;4;1;8;6;5;4;5;4;3;25;1;8;15
Englodnegras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;6;1;1
Engrapp;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;;5;;;;;;
Engsoleie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Engsyre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;5;;;2
Etasjemose;3;;;4;5;5;3;2;4;3;6;5;6;7;4;1;9;4;;;;;;;;;;6;65;2;8;1;5;1;8;1
Finnskjegg;1;1;2;15;15;7;7;15;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
Fiol_sp;;2;1;;;;;2;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;
Firkantperikum;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;3;;8
Fjellmarikape;;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Flekkmarihand;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frytle_sp;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Fuglevikke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Furumose;1;;;;;;;;;4;;3;8;2;;1;5;1;;;;;;;;;;5;4;5;4;;;;;
Gauksyre;;;;;;;;;;;;;;;;;2;;;;;;;;;;;5;3;3;2;3;2;4;2;2
Geitsvingel;1;2;4;4;4;2;3;5;1;;;3;2;;;;;;;;;;;;;;;5;7;3;2;5;8;3;6;8
Gras_sp;;;;;;;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulaks;;;8;;2;4;;;5;;;;;;;;;;2;2;;;4;4;1;4;2;1;1;15;1;5;;;;5
Gulsildre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;
Heiblafjor;1;2;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Heiflette;5;3;4;15;5;2;15;4;1;3;3;2;1;5;4;6;5;2;;;;;;;;;;;8;5;;;;;;
Heistarr;;;;;;;;;;;3;;1;2;;;;;;;;;;;;;;;;;;;3;;;
Harfrytle;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jablom;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;4;;5;;3;2;
Klokkelyng;;4;;3;2;6;5;8;;2;4;;;;;;;;;;;;;3;1;;;;;;;;;;;
Kornstarr;2;2;;15;5;3;4;1;;;;;;;;;;;;;;2;;;4;2;2;;;;;;;;;
Krattlodnegras;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3;2;5;1;5;5;3;25
Krekling;;;;;;;;;;4;5;6;3;3;;2;2;;;;;;;;;;;;;;;;;;;
Krusfagermose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;4;3;;;;
Kvitbladtistel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;
Kvitklover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;3;3
Kvitveis;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;
Kystkransmose;3;;;;2;2;5;3;;1;;4;3;2;2;;;3;;;;;;;;;;5;2;2;6;5;5;5;6;5
Legeveronika;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;
Levermose_sp;;;;;;;;;;;3;;;;;;;15;;;;;;;;;;;;;;3;3;;;
Loppestarr;;;;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lys_reinlav;;;;;;;;;;;;;4;6;3;2;1;15;;;;;;;;;;;;;;;;;;
Lovetann;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Maiblom;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Marikape;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;6;;;6
Melbaer;3;2;3;;;;;;15;;;5;;1;6;;;;;1;3;;;;;;;;;;;;;;;
Mjodurt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;4;
Mosepose;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;2;;;;;;3
Myrtistel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;6;4;15
Narremose;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;3
Perikum_sp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;
Ryllik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Rypebaer;;;;;;;;;;;;;5;5;;3;;;;;;;;;;;;;;;;;;;;
Rodsvingel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;3;3;4;3;;3
Rosslyng;3;3;6;5;75;5;7;5;75;8;9;7;85;75;75;8;8;8;2;2;2;2;2;2;2;2;2;;;;;;;;;
Sauesvingel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;
Sigdmose;;;;;4;5;;;;3;;3;2;;;;;;;;;;;;;;;;;;;;;;;
Skogstjerne;;2;3;;3;4;3;2;3;2;3;2;2;2;2;3;3;4;;;;2;2;3;2;2;1;;;;;;;;;
Skrubbaer;;;;;;;;;;;;;;;;;;;1;1;1;1;;3;1;1;;;;;;;;;;
Slattestarr;;;;2;;2;3;3;;;1;;;2;1;2;;;3;2;1;1;5;5;2;3;1;;;;;;;;;
Smyle;2;2;1;;;;3;4;4;4;2;2;2;1;4;1;2;2;;;;;;;2;;2;1;5;12;3;15;1;4;1;6
Starr_sp;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Storfrytle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;3;3;15;
Storkransmose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;;;3;4;3;
Stri_krakefot;;;;;;;;;;;6;;;;;1;;;;;;;;;;;;;;;;;;;;
Svart_liten_sopp_foto;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;
Svingel_sp;;;;;4;;;;;;;;;;;;;;;;;;;;3;1;4;;;;;;;;;
Syre_sp;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;
Solvbunke;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;6;3;3;8
Tepperot;8;6;6;15;15;4;4;6;4;4;1;3;5;2;6;2;2;2;25;15;25;15;3;55;17;2;22;6;8;6;3;25;;;4;6
Tiriltunge;2;2;15;2;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;;;;;
Tyttebaer;2;;8;4;3;8;4;2;;4;5;4;3;8;6;4;3;;;;;;;;;;;;;;;;;;;
